#################################################################################################################################################################
#
# This is Table C1 from Krajnovic et al. 2012: "The ATLAS3D Project - XVII. Linking photometric and kinematic signatures of stellar discs in early-type galaxies"
#
#################################################################################################################################################################
# Its contents are: 
# 
# Column (1): The Name is the principal designation from LEDA, which is used as standard designation.
# Column (2,3): Effective surface brightness of the single Sersic fit.
# Column (4,5): Effective radius of the  single Sersic fit in arcsec + error.
# Column (6-7):  S\'ersic index of the single Sersic fit + error.
# Column (8,9): Effective surface brightness of the bulge component in mag arcsec$^{-2}$ +error.
# Column (10,11): Effective radius of the bulge in arcsec + error.
# Column (12,13): S\'ersic index of the bulge component + error.
# Column (14): Flattening of the bulge component.
# Column (15,16): Effective surface brightness of the exponential component in mag arcsec$^{-2}$ +error.
# Column (17,18): Effective radius of the exponential component in arcsec+error.  
# Column (19):  Flattening of the exponential component.  
# Column (20,21): Disk-to-Total light ratio +error. 
#
# Note that Columns (2)-(4) are results of one component S\'ersic fits to profiles azimuthally averaged along 
# fixed ellipses, while columns (6)-(12) are results of two components fits to profiles azimuthally averaged 
# along free ellipses. This explains the difference between ($\mu_g$, $R_g$, $n_g$) and ($\mu_b$, $R_b$, $n_b$) 
# when two component fit was not required ($\mu_d=0$, $R_d=0$).
#
####################################################################################################################################################################
    name       mu_e      er_mu_e    R_e      er_R_e       n       er_n      mu_e_b  er_mu_e_b    R_e_b    er_R_e_b    n_b      er_n_b    q_b       m0_d    er_m0_d      R_d     er_R_d     q_d       D/T      er_dt
   NGC4078     19.82      0.06       8.9       0.3       3.8       0.2      19.76      0.04       9.6       0.2       2.1       0.1      0.37      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4111     18.79      0.05      24.6       0.6       2.1       0.1      18.69      0.04      23.3       0.5       2.3       0.1      0.21      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4119     21.72      0.22      56.1       7.9       2.1       0.3      20.02      0.31       8.0       7.2       0.3       0.5      0.52     19.78      0.05      33.7       2.0      0.41      0.93     0.058
   NGC4143     19.54      0.18      16.9       2.0       2.1       0.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4150     20.44      0.20      18.0       2.7       2.0       0.7      17.71      0.51       2.6       0.8       1.4       0.6      0.85     19.00      0.04      13.6       0.3      0.70      0.76     0.073
   NGC4168     21.94      0.09      38.4       1.6       3.7       0.2      20.27      0.12      13.5       1.1       1.9       0.2      0.87     21.59      0.06      42.6       2.9      0.88      0.54     0.034
   NGC4179     19.68      0.08      26.0       1.0       2.6       0.2      18.84      0.45       8.1       4.3       1.4       0.8      0.57     18.93      0.04      23.6       2.2      0.38      0.70     0.161
   NGC4191     21.28      0.05      14.9       0.4       3.2       0.2      21.06      0.07      14.0       0.4       2.4       0.2      0.69      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4203     21.66      0.41      42.8      25.5       5.6       2.5      18.51      0.17       6.8       0.7       1.3       0.4      0.90     19.78      0.04      27.6       1.7      0.91      0.71     0.034
   NGC4215     20.10      0.14      17.8       1.7       1.9       0.5       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4233     20.56      0.18      19.9       2.0       3.3       0.7      18.44      0.19       4.4       0.4       0.8       0.2      0.73     20.00      0.04      20.6       1.1      0.63      0.72     0.028
   NGC4249     21.83      0.09      11.6       0.5       1.9       0.2      21.87      0.11      11.8       0.7       1.8       0.4      0.97      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4251     19.90      0.09      23.4       1.0       3.6       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4255     20.09      0.19      11.6       1.3       2.2       0.4       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4259     20.31      0.05       9.1       0.2       2.5       0.1      20.66      0.05      10.6       0.3       1.9       0.1      0.54      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4261     21.76      0.16      52.1       4.8       5.1       0.4      21.86      0.16      55.4       4.8       5.7       0.5      0.84      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4262     19.49      0.48       9.8       3.0       4.7       2.6       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4264     20.77      0.11      11.7       0.6       2.3       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4267     22.01      0.48      37.8      28.4       7.6       2.8       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4268     20.36      0.12      14.2       0.9       1.9       0.3       0.00      0.00       0.0       0.0       0.0       0.0      0.00      0.00      0.00       0.0       0.0      0.00      0.00     0.000
   NGC4270     20.38      0.08      18.8       0.7       1.8       0.2      19.09      0.60       3.5       2.0       0.9       0.7      0.73     18.84      0.05      13.2       0.5      0.53      0.87     0.120
   NGC4278     20.70      0.11      31.6       1.6       4.8       0.3      20.96      0.21      35.3       2.9       4.1       0.4      0.92     17.69      0.02       4.2       2.8      0.86      0.07     0.000
   NGC4281     20.63      0.11      28.5       1.5       2.8       0.3      21.84      0.76      27.7      11.7       7.1       2.8      0.45     19.19      0.07      19.0       1.4      0.47      0.54     0.062
